Voltage,Ripple,Current,Throttle,Power,RPM,Temp,BEC Voltage,BEC Current,Raw NTC,E.Stop,Raw Linear,Packet In,Check Bad,Packet Out,Packet Bad,Fail Safe,Link Live
"['Voltage', 13.398628795298727]","['Ripple', 0.0]","['Current', 0.0]","['Throttle', 1.0700293829578844]","['Power', 0.04508991185112634]","['RPM', 57320.62281096963]","['Temp', 27.267384916748288]","['BEC Voltage', 0.0]","['BEC Current', 0.0019588638589618022]","['Raw NTC', 118.0625]","['E.Stop', [255, 255, 2]]","['Raw Linear', 962.8060724779629]","['Packet In', [255, 255, 2]]","['Check Bad', [255, 255, 2]]","['Packet Out', [255, 255, 2]]","['Packet Bad', [255, 255, 2]]","['Fail Safe', [255, 255, 2]]","['Link Live', [255, 255, 2]]"
"['Voltage', 13.369245837414299]","['Ripple', 0.0]","['Current', 0.0]","['Throttle', 1.0710088148873653]","['Power', 0.04607012732615083]","['RPM', 57160.6489813908]","['Temp', 27.267384916748288]","['BEC Voltage', 0.0]","['BEC Current', 0.0]","['Raw NTC', 118.03125]","['E.Stop', [255, 255, 2]]","['Raw Linear', 962.8060724779629]","['Packet In', [255, 255, 2]]","['Check Bad', [255, 255, 2]]","['Packet Out', [255, 255, 2]]","['Packet Bad', [255, 255, 2]]","['Fail Safe', [255, 255, 2]]","['Link Live', [255, 255, 2]]"
"['Voltage', 13.379040156709108]","['Ripple', 0.0019588638589618022]","['Current', 0.024485798237022526]","['Throttle', 1.0700293829578844]","['Power', 0.04607012732615083]","['RPM', 57090.66043095005]","['Temp', 27.267384916748288]","['BEC Voltage', 0.0019588638589618022]","['BEC Current', 0.0]","['Raw NTC', 117.9375]","['E.Stop', [255, 255, 2]]","['Raw Linear', 962.8060724779629]","['Packet In', [255, 255, 2]]","['Check Bad', [255, 255, 2]]","['Packet Out', [255, 255, 2]]","['Packet Bad', [255, 255, 2]]","['Fail Safe', [255, 255, 2]]","['Link Live', [255, 255, 2]]"
"['Voltage', 13.388834476003916]","['Ripple', 0.15083251714005877]","['Current', 0.0]","['Throttle', 1.0714985308521057]","['Power', 0.04607012732615083]","['RPM', 57320.62281096963]","['Temp', 27.267384916748288]","['BEC Voltage', 0.0019588638589618022]","['BEC Current', 0.0]","['Raw NTC', 118.15625]","['E.Stop', [255, 255, 2]]","['Raw Linear', 962.8060724779629]","['Packet In', [255, 255, 2]]","['Check Bad', [255, 255, 2]]","['Packet Out', [255, 255, 2]]","['Packet Bad', [255, 255, 2]]","['Fail Safe', [255, 255, 2]]","['Link Live', [255, 255, 2]]"
"['Voltage', 13.388834476003916]","['Ripple', 0.0]","['Current', 0.0]","['Throttle', 1.069539666993144]","['Power', 0.045947600391772765]","['RPM', 57530.58846229187]","['Temp', 28.207639569049952]","['BEC Voltage', 0.0]","['BEC Current', 0.0]","['Raw NTC', 119.0625]","['E.Stop', [255, 255, 2]]","['Raw Linear', 962.8060724779629]","['Packet In', [255, 255, 2]]","['Check Bad', [255, 255, 2]]","['Packet Out', [255, 255, 2]]","['Packet Bad', [255, 255, 2]]","['Fail Safe', [255, 255, 2]]","['Link Live', [255, 255, 2]]"
"['Voltage', 13.388834476003916]","['Ripple', 0.14691478942213515]","['Current', 0.0]","['Throttle', 1.0685602350636632]","['Power', 0.04607012732615083]","['RPM', 57370.61463271303]","['Temp', 28.207639569049952]","['BEC Voltage', 0.0019588638589618022]","['BEC Current', 0.0]","['Raw NTC', 117.1875]","['E.Stop', [255, 255, 2]]","['Raw Linear', 962.8060724779629]","['Packet In', [255, 255, 2]]","['Check Bad', [255, 255, 2]]","['Packet Out', [255, 255, 2]]","['Packet Bad', [255, 255, 255]]","['Fail Safe', [255, 255, 2]]","['Link Live', [255, 255, 2]]"
"['Voltage', 13.388834476003916]","['Ripple', 0.0]","['Current', 0.0]","['Throttle', 1.0710088148873653]","['Power', 0.04619265426052889]","['RPM', 57150.65061704211]","['Temp', 29.147894221351617]","['BEC Voltage', 0.0]","['BEC Current', 0.0]","['Raw NTC', 117.03125]","['E.Stop', [255, 255, 2]]","['Raw Linear', 962.8060724779629]","['Packet In', [255, 255, 2]]","['Check Bad', [255, 255, 2]]","['Packet Out', [255, 255, 2]]","['Packet Bad', [255, 255, 2]]","['Fail Safe', [255, 255, 2]]","['Link Live', [255, 255, 2]]"
"['Voltage', 13.388834476003916]","['Ripple', 0.0019588638589618022]","['Current', 0.0]","['Throttle', 1.0710088148873653]","['Power', 0.04508991185112634]","['RPM', 57320.62281096963]","['Temp', 28.207639569049952]","['BEC Voltage', 0.0]","['BEC Current', 0.0]","['Raw NTC', 117.0625]","['E.Stop', [255, 255, 2]]","['Raw Linear', 962.8060724779629]","['Packet In', [255, 255, 2]]","['Check Bad', [255, 255, 2]]","['Packet Out', [255, 255, 2]]","['Packet Bad', [255, 255, 2]]","['Fail Safe', [255, 255, 2]]","['Link Live', [255, 255, 2]]"
"['Voltage', 13.388834476003916]","['Ripple', 0.14691478942213515]","['Current', 0.0]","['Throttle', 1.070519098922625]","['Power', 0.04508991185112634]","['RPM', 57320.62281096963]","['Temp', 27.267384916748288]","['BEC Voltage', 0.0]","['BEC Current', 0.0]","['Raw NTC', 115.0625]","['E.Stop', [255, 255, 2]]","['Raw Linear', 962.8060724779629]","['Packet In', [255, 255, 2]]","['Check Bad', [255, 255, 2]]","['Packet Out', [255, 255, 2]]","['Packet Bad', [255, 255, 2]]","['Fail Safe', [255, 255, 2]]","['Link Live', [255, 255, 2]]"
"['Voltage', 7.512242899118511]","['Ripple', 2.6777668952007834]","['Current', 0.0]","['Throttle', 1.0714985308521057]","['Power', 0.045947600391772765]","['RPM', 57320.62281096963]","['Temp', 28.207639569049952]","['BEC Voltage', 0.0]","['BEC Current', 0.0]","['Raw NTC', 113.0625]","['E.Stop', [255, 255, 2]]","['Raw Linear', 962.8060724779629]","['Packet In', [255, 255, 2]]","['Check Bad', [255, 255, 2]]","['Packet Out', [255, 255, 2]]","['Packet Bad', [255, 255, 2]]","['Fail Safe', [255, 255, 2]]","['Link Live', [255, 255, 2]]"
